id,name,matched_query,image_file,image_url,thumbnail,source,title,creator,license,attribution,bytes,status,error
07BC4w8wfLq8QJaX9kgD,Sfenj (Moroccan Doughnut),Sfenj,migrations\images\07BC4w8wfLq8QJaX9kgD_sfenj_moroccan_doughnut.jpg,https://live.staticflickr.com/7391/8955775959_5eb9aee00f.jpg,https://api.openverse.org/v1/images/cdafd417-08c8-4ebd-a0b2-08e43a11aa7d/thumb/,flickr,Desayunando con Sfenj #watercolors #dog,Rafa Esteve,by-nc,"""Desayunando con Sfenj #watercolors #dog"" by Rafa Esteve is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",47665,downloaded,
0B9r9JLW8jOi5IPhk090,Sambusa (Ethiopian),Sambusa,migrations\images\0B9r9JLW8jOi5IPhk090_sambusa_ethiopian.jpg,https://live.staticflickr.com/65535/40751446783_6896049465_b.jpg,https://api.openverse.org/v1/images/01c84e66-9855-4620-8e9f-04161d6ca900/thumb/,flickr,"Sambusa plate (Sambusas, Peri peri chicken wings & sweet potato fries)",ali eminov,by-nc,"""Sambusa plate (Sambusas, Peri peri chicken wings & sweet potato fries)"" by ali eminov is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",278742,downloaded,
0D8Gq3wLjJeKXFNesh3o,Matoke and Groundnut Sauce,Matoke and Groundnut Sauce,migrations\images\0D8Gq3wLjJeKXFNesh3o_matoke_and_groundnut_sauce.jpg,https://live.staticflickr.com/4017/4427428766_0e27d856fb_b.jpg,https://api.openverse.org/v1/images/5801014c-c73b-4010-834e-37d75be8ca46/thumb/,flickr,"Matoke - Kampala and Entebbe, Uganda",whl.travel,by-nc-sa,"""Matoke - Kampala and Entebbe, Uganda"" by whl.travel is licensed under CC BY-NC-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/2.0/.",193840,downloaded,
0h41P6JLhSF8yLKkkrdV,Derssa,,,,,,,,,,,no_match,
0pjUBbNVeJAvQHKTfZhn,Asida,Asida,migrations\images\0pjUBbNVeJAvQHKTfZhn_asida.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/342513354/original.jpeg,https://api.openverse.org/v1/images/36353253-3f94-486f-9155-147814c5f512/thumb/,inaturalist,Asida sabulosa sabulosa,Felix Riegel,by-nc,"""Asida sabulosa sabulosa"" by Felix Riegel is licensed under CC BY-NC 4.0. To view a copy of this license, visit http://creativecommons.org/licenses/by-nc/4.0/.",852423,downloaded,
0u8ciBprwyNMMe0R3oCX,Fura da Nono,,,,,,,,,,,no_match,
13nonrVm2t7XM6HwdPSr,Red Red,Red Red,migrations\images\13nonrVm2t7XM6HwdPSr_red_red.jpg,https://live.staticflickr.com/2690/4242582553_edb4d6fb0a_b.jpg,https://api.openverse.org/v1/images/76c8c2d2-6a7b-4c9b-b7ec-b2f5eec73796/thumb/,flickr,♫♫ RED RED WINE ♫♫,Stella Blu,by,"""♫♫ RED RED WINE ♫♫"" by Stella Blu is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",161608,downloaded,
1XrMIAxspipjKjOBx63B,Mbege,Mbege,migrations\images\1XrMIAxspipjKjOBx63B_mbege.jpg,https://live.staticflickr.com/65535/53965280821_f318205887_b.jpg,https://api.openverse.org/v1/images/3b6648da-84eb-4dde-8512-190ca7013ff2/thumb/,flickr,"Fermenting Mbege, Banana Beer, Mto Wa Mbu Tanzania",AdamCohn,by-nc-nd,"""Fermenting Mbege, Banana Beer, Mto Wa Mbu Tanzania"" by AdamCohn is licensed under CC BY-NC-ND 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/2.0/.",221615,downloaded,
1crCmJp7TdfaLHxQgM7r,Maputi (Popcorn),Maputi,migrations\images\1crCmJp7TdfaLHxQgM7r_maputi_popcorn.jpg,https://live.staticflickr.com/5658/21713884920_bd08492a53_b.jpg,https://api.openverse.org/v1/images/1538cec6-8b69-428c-9e9e-ddd5c7ac5738/thumb/,flickr,"Mahirap man o may kaya, maputi, kayumanggi... At kahit ano mang uri ka pa, sayong mundo ay bata ka.",chocoholiccynic,by-nc-sa,"""Mahirap man o may kaya, maputi, kayumanggi... At kahit ano mang uri ka pa, sayong mundo ay bata ka."" by chocoholiccynic is licensed under CC BY-NC-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/2.0/.",129754,downloaded,
1hM4zTDAdlOoTJT5SyiO,Kelewele,Kelewele,migrations\images\1hM4zTDAdlOoTJT5SyiO_kelewele.jpg,https://live.staticflickr.com/4264/35441191321_e3b025a4b9_b.jpg,https://api.openverse.org/v1/images/3a24653d-5312-4e82-b40a-9861df2ab128/thumb/,flickr,"Kelewele at Timber Gardens, Croydon, London CR0",Kake .,by-nc-sa,"""Kelewele at Timber Gardens, Croydon, London CR0"" by Kake . is licensed under CC BY-NC-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/2.0/.",193745,downloaded,
